# File: L201.LaborProductivity_GCAMINDIA.csv
# Title:INDIA value written to all states
# Units: NA
# Column types: cnn
# --------
region,year,laborproductivity
HR,2060,0.03772
HR,2065,0.03634
HR,2070,0.03447
HR,2075,0.03346
HR,2080,0.03244
HR,2085,0.031889999
HR,2090,0.03236
HR,2095,0.032410001
HR,2100,0.03049
JH,2010,0.053272658
JH,2015,0.017468132
JH,2020,0.023544076
JH,2025,0.04781024
JH,2030,0.04644906
JH,2035,0.045145382
JH,2040,0.04468
JH,2045,0.04253
JH,2050,0.04081
JH,2055,0.03993
JH,2060,0.03772
JH,2065,0.03634
JH,2070,0.03447
JH,2075,0.03346
JH,2080,0.03244
JH,2085,0.03189
JH,2090,0.03236
JH,2095,0.03241
JH,2100,0.03049
JK,2010,0.023693938
JK,2015,0.065032528
JK,2020,0.075923059
JK,2025,0.055557909
JK,2030,0.052601291
JK,2035,0.050272131
JK,2040,0.04468
JK,2045,0.04253
JK,2050,0.04081
JK,2055,0.03993
JK,2060,0.03772
JK,2065,0.03634
JK,2070,0.034469999
JK,2075,0.033460001
JK,2080,0.03244
JK,2085,0.03189
JK,2090,0.03236
JK,2095,0.03241
JK,2100,0.03049
KA,2010,0.001527729
KA,2015,0.063911348
KA,2020,0.050686796
KA,2025,0.050390878
KA,2030,0.048955825
KA,2035,0.047332149
KA,2040,0.04468
KA,2045,0.04253
KA,2050,0.04081
KA,2055,0.03993
KA,2060,0.03772
KA,2065,0.03634
KA,2070,0.03447
KA,2075,0.03346
KA,2080,0.03244
KA,2085,0.03189
KA,2090,0.03236
KA,2095,0.03241
KA,2100,0.03049
KL,2010,0.027647946
KL,2015,0.049875082
KL,2020,0.044061041
KL,2025,0.049178322
KL,2030,0.047909049
KL,2035,0.045359504
KL,2040,0.04468
KL,2045,0.04253
KL,2050,0.04081
KL,2055,0.03993
KL,2060,0.03772
KL,2065,0.03634
KL,2070,0.03447
KL,2075,0.03346
KL,2080,0.03244
KL,2085,0.03189
KL,2090,0.03236
KL,2095,0.03241
KL,2100,0.03049
LA,2010,0.06086
LA,2015,0.05302
LA,2020,0.05145
LA,2025,0.05007
LA,2030,0.04823
LA,2035,0.04642
LA,2040,0.04468
LA,2045,0.04253
LA,2050,0.04081
LA,2055,0.03993
LA,2060,0.03772
LA,2065,0.03634
LA,2070,0.03447
LA,2075,0.03346
LA,2080,0.03244
LA,2085,0.03189
LA,2090,0.03236
LA,2095,0.03241
LA,2100,0.03049
LD,2010,0.06086
LD,2015,0.05302
LD,2020,0.05145
LD,2025,0.05007
LD,2030,0.04823
LD,2035,0.04642
LD,2040,0.04468
LD,2045,0.04253
LD,2050,0.04081
LD,2055,0.03993
LD,2060,0.03772
LD,2065,0.03634
LD,2070,0.03447
LD,2075,0.03346
LD,2080,0.03244
LD,2085,0.03189
LD,2090,0.03236
LD,2095,0.03241
LD,2100,0.03049
MH,2010,0.044391152
MH,2015,0.072120464
MH,2020,0.051617211
MH,2025,0.05194871
MH,2030,0.050204409
MH,2035,0.049266613
MH,2040,0.04468
MH,2045,0.04253
MH,2050,0.04081
MH,2055,0.03993
MH,2060,0.03772
MH,2065,0.03634
MH,2070,0.03447
MH,2075,0.03346
MH,2080,0.03244
MH,2085,0.03189
MH,2090,0.03236
MH,2095,0.03241
MH,2100,0.030490001
ML,2010,0.040658283
ML,2015,0.039122835
ML,2020,0.043218488
ML,2025,0.052097944
ML,2030,0.049961262
ML,2035,0.048872954
ML,2040,0.04468
ML,2045,0.04253
ML,2050,0.04081
ML,2055,0.03993
ML,2060,0.03772
ML,2065,0.03634
ML,2070,0.03447
ML,2075,0.03346
ML,2080,0.03244
ML,2085,0.03189
ML,2090,0.03236
ML,2095,0.03241
ML,2100,0.030490001
MN,2010,0.019432751
MN,2015,0.07125821
MN,2020,0.069828505
MN,2025,0.044242
MN,2030,0.042761069
MN,2035,0.040862321
MN,2040,0.04468
MN,2045,0.04253
MN,2050,0.04081
MN,2055,0.03993
MN,2060,0.03772
MN,2065,0.03634
MN,2070,0.03447
MN,2075,0.03346
MN,2080,0.03244
MN,2085,0.03189
MN,2090,0.03236
MN,2095,0.03241
MN,2100,0.03049
MP,2010,0.058717682
MP,2015,0.056926455
MP,2020,0.094719402
MP,2025,0.049446362
MP,2030,0.04846561
MP,2035,0.046933207
MP,2040,0.04468
MP,2045,0.04253
MP,2050,0.04081
MP,2055,0.03993
MP,2060,0.03772
MP,2065,0.03634
MP,2070,0.03447
MP,2075,0.03346
MP,2080,0.03244
MP,2085,0.03189
MP,2090,0.03236
MP,2095,0.03241
MP,2100,0.03049
MZ,2010,0.056740657
MZ,2015,0.106023448
MZ,2020,0.085434224
MZ,2025,0.044967913
MZ,2030,0.04323501
MZ,2035,0.04254118
MZ,2040,0.04468
MZ,2045,0.042530001
MZ,2050,0.040809999
MZ,2055,0.03993
MZ,2060,0.03772
MZ,2065,0.03634
MZ,2070,0.03447
MZ,2075,0.03346
MZ,2080,0.03244
MZ,2085,0.03189
MZ,2090,0.032359999
MZ,2095,0.03241
MZ,2100,0.030490001
NL,2010,0.102276726
NL,2015,0.028466944
NL,2020,0.064451168
NL,2025,0.047254781
NL,2030,0.045609627
NL,2035,0.044180197
NL,2040,0.04468
NL,2045,0.04253
NL,2050,0.040809999
NL,2055,0.03993
NL,2060,0.03772
NL,2065,0.03634
NL,2070,0.03447
NL,2075,0.03346
NL,2080,0.03244
NL,2085,0.03189
NL,2090,0.032360001
NL,2095,0.03241
NL,2100,0.030489999
OD,2010,0.047944512
OD,2015,0.053536588
OD,2020,0.099964666
OD,2025,0.053509068
OD,2030,0.052139453
OD,2035,0.050822968
OD,2040,0.04468
OD,2045,0.04253
OD,2050,0.04081
OD,2055,0.03993
OD,2060,0.03772
OD,2065,0.03634
OD,2070,0.03447
OD,2075,0.03346
OD,2080,0.03244
OD,2085,0.03189
OD,2090,0.03236
OD,2095,0.03241
OD,2100,0.030490001
PB,2010,0.059627001
PB,2015,0.052787353
PB,2020,0.056402722
PB,2025,0.051390177
PB,2030,0.049971576
PB,2035,0.049325524
PB,2040,0.04468
PB,2045,0.04253
PB,2050,0.04081
PB,2055,0.03993
PB,2060,0.03772
PB,2065,0.03634
PB,2070,0.03447
PB,2075,0.03346
PB,2080,0.03244
PB,2085,0.03189
PB,2090,0.03236
PB,2095,0.03241
PB,2100,0.03049
PC,2010,0.048341175
PC,2015,0.047282149
PC,2020,0.032613013
PC,2025,0.039637049
PC,2030,0.036497488
PC,2035,0.033405814
PC,2040,0.04468
PC,2045,0.04253
PC,2050,0.04081
PC,2055,0.03993
PC,2060,0.03772
PC,2065,0.03634
PC,2070,0.03447
PC,2075,0.03346
PC,2080,0.03244
PC,2085,0.03189
PC,2090,0.03236
PC,2095,0.03241
PC,2100,0.030490001
RJ,2010,0.041889775
RJ,2015,0.055517609
RJ,2020,0.052879399
RJ,2025,0.071988664
RJ,2030,0.050450605
RJ,2035,0.047665598
RJ,2040,0.04468
RJ,2045,0.04253
RJ,2050,0.04081
RJ,2055,0.03993
RJ,2060,0.03772
RJ,2065,0.03634
RJ,2070,0.03447
RJ,2075,0.03346
RJ,2080,0.03244
RJ,2085,0.03189
RJ,2090,0.03236
RJ,2095,0.03241
RJ,2100,0.03049
SK,2010,0.014659532
SK,2015,0.109904527
SK,2020,0.105207422
SK,2025,0.051307344
SK,2030,0.049674199
SK,2035,0.047582262
SK,2040,0.04468
SK,2045,0.04253
SK,2050,0.04081
SK,2055,0.03993
SK,2060,0.037719999
SK,2065,0.03634
SK,2070,0.03447
SK,2075,0.03346
SK,2080,0.03244
SK,2085,0.03189
SK,2090,0.03236
SK,2095,0.03241
SK,2100,0.03049
TN,2010,0.043978262
TN,2015,0.067977539
TN,2020,0.065685257
TN,2025,0.051028318
TN,2030,0.049990049
TN,2035,0.048389259
TN,2040,0.04468
TN,2045,0.04253
TN,2050,0.04081
TN,2055,0.03993
TN,2060,0.03772
TN,2065,0.03634
TN,2070,0.03447
TN,2075,0.03346
TN,2080,0.03244
TN,2085,0.03189
TN,2090,0.03236
TN,2095,0.03241
TN,2100,0.03049
TR,2010,0.079225283
TR,2015,0.078812122
TR,2020,0.053981941
TR,2025,0.046208501
TR,2030,0.044653474
TR,2035,0.042438258
TR,2040,0.04468
TR,2045,0.04253
TR,2050,0.04081
TR,2055,0.03993
TR,2060,0.03772
TR,2065,0.03634
TR,2070,0.03447
TR,2075,0.03346
TR,2080,0.03244
TR,2085,0.03189
TR,2090,0.032360001
TR,2095,0.03241
TR,2100,0.03049
TS,2010,0.061025194
TS,2015,0.088161496
TS,2020,0.088771276
TS,2025,0.050607967
TS,2030,0.049734293
TS,2035,0.048521906
TS,2040,0.04468
TS,2045,0.04253
TS,2050,0.04081
TS,2055,0.03993
TS,2060,0.03772
TS,2065,0.03634
TS,2070,0.03447
TS,2075,0.03346
TS,2080,0.03244
TS,2085,0.03189
TS,2090,0.03236
TS,2095,0.03241
TS,2100,0.03049
UK,2010,0.029760362
UK,2015,0.081434055
UK,2020,0.046680927
UK,2025,0.05005584
UK,2030,0.048392589
UK,2035,0.047888129
UK,2040,0.04468
UK,2045,0.04253
UK,2050,0.04081
UK,2055,0.03993
UK,2060,0.03772
UK,2065,0.03634
UK,2070,0.03447
UK,2075,0.033459999
UK,2080,0.03244
UK,2085,0.03189
UK,2090,0.03236
UK,2095,0.03241
UK,2100,0.03049
UP,2010,0.052722424
UP,2015,0.045559921
UP,2020,0.065095214
UP,2025,0.05172787
UP,2030,0.051147403
UP,2035,0.04886651
UP,2040,0.04468
UP,2045,0.04253
UP,2050,0.04081
UP,2055,0.03993
UP,2060,0.03772
UP,2065,0.03634
UP,2070,0.03447
UP,2075,0.03346
UP,2080,0.03244
UP,2085,0.03189
UP,2090,0.03236
UP,2095,0.03241
UP,2100,0.03049
WB,2010,0.062508873
WB,2015,0.046012918
WB,2020,0.067013332
WB,2025,0.050573272
WB,2030,0.049429757
WB,2035,0.047272424
WB,2040,0.04468
WB,2045,0.04253
WB,2050,0.04081
WB,2055,0.03993
WB,2060,0.03772
WB,2065,0.03634
WB,2070,0.03447
WB,2075,0.03346
WB,2080,0.03244
WB,2085,0.03189
WB,2090,0.03236
WB,2095,0.03241
WB,2100,0.03049
